split_0_epoch,split_0_Acc gesture,split_0_Edit gesture,split_0_F1-macro gesture,split_0_F1@10 gesture,split_0_F1@25 gesture,split_0_F1@50 gesture,split_1_epoch,split_1_Acc gesture,split_1_Edit gesture,split_1_F1-macro gesture,split_1_F1@10 gesture,split_1_F1@25 gesture,split_1_F1@50 gesture,split_2_epoch,split_2_Acc gesture,split_2_Edit gesture,split_2_F1-macro gesture,split_2_F1@10 gesture,split_2_F1@25 gesture,split_2_F1@50 gesture,split_3_epoch,split_3_Acc gesture,split_3_Edit gesture,split_3_F1-macro gesture,split_3_F1@10 gesture,split_3_F1@25 gesture,split_3_F1@50 gesture,split_4_epoch,split_4_Acc gesture,split_4_Edit gesture,split_4_F1-macro gesture,split_4_F1@10 gesture,split_4_F1@25 gesture,split_4_F1@50 gesture
25,82.79568254355162,86.78356384210832,0.8083287301328186,90.01568217459489,86.46105593308938,72.24255096706743,25,85.6990469664881,90.17494764955617,0.8237951156056712,91.52185360716166,89.83675618746709,80.25276461295418,25,83.64688626000446,85.90889559555816,0.813786667731866,90.77001529831718,88.83222845486996,77.40948495665478,25,80.60733274930394,84.31250329833411,0.7641930361652728,85.94507269789983,80.12924071082391,60.85083467959074,25,84.56519316305129,90.81099299249456,0.7951439338469202,92.27614490772386,89.67874231032127,73.41079972658919
26,83.13922045078877,88.82075254695678,0.7944795666393648,91.60146061554512,88.36724047991655,72.92644757433489,26,84.6159835555002,89.35125973324655,0.8149917454566332,91.48825065274151,89.71279373368147,80.4177545691906,26,82.49816651254743,86.5408277094434,0.7978989285712639,90.22633744855968,87.5514403292181,76.64609053497942,26,81.79649755835234,88.90015970602046,0.7722828617454184,89.12579957356078,83.15565031982943,62.47334754797442,26,85.1508120649652,92.31204470200201,0.7988215056346353,92.81314168377823,89.11704312114989,75.564681724846
27,83.49037560652341,90.02094260925483,0.8141862603355029,92.37288135593221,89.83050847457626,75.3177966101695,27,84.77404385199951,89.93278935132018,0.8131352491438357,92.04665959703077,90.56203605514315,81.33616118769883,27,85.6119065080833,84.07426880964115,0.8242683385442904,89.85059247810406,88.71715610510046,79.03142709943327,27,80.98377149994361,81.65071902595196,0.7616353177686985,86.55097613882864,80.80260303687635,60.95444685466378,27,84.53885044428009,91.88216496111275,0.7933301765290531,93.01038062283737,90.10380622837371,74.878892733564
28,83.65643162376887,89.5946840128902,0.8095805957851678,92.46972090573986,89.09952606635072,73.93364928909952,28,85.79948922386944,90.95000369275053,0.8238449711938908,92.67771245323357,91.39497594869054,82.52271512560128,28,84.73023819393514,87.12125768477021,0.8276512968174597,91.08706852138073,88.8201957753735,79.34054611025245,28,81.57445073769851,83.32720381104856,0.7657360631066813,86.5040650406504,81.30081300813008,60.70460704607046,28,84.68474857901296,89.61654514946362,0.7926753502906793,92.02702702702703,88.91891891891892,74.32432432432432
29,83.32279613957846,89.9278742559477,0.8127613076927495,92.38790406673618,89.57247132429615,73.93117831074036,29,85.07614924629375,90.74701232064854,0.8164151991426677,92.84188034188034,91.45299145299145,81.83760683760684,29,84.39303593635407,85.89623771261161,0.8191727192620043,90.37783375314862,88.66498740554157,77.07808564231739,29,81.74098585318889,86.57918161397814,0.7667956978223321,87.45367919534145,81.73636844891476,62.14928533615669,29,84.43753229516003,91.75692879969546,0.7980801711545019,93.57923497267758,90.71038251366122,77.59562841530054
30,83.39516000030468,88.86149544529061,0.7921787784719928,91.74603174603175,87.93650793650794,72.69841269841271,30,85.31518624641834,91.00416795569484,0.8185078052505238,93.10710498409333,91.83457051961824,82.50265111346766,30,82.93262332196039,85.5546116194952,0.8076412723911891,89.5112016293279,86.65987780040733,75.35641547861508,30,79.93859017616293,86.18036064499377,0.7523320943023126,88.37707552222818,80.77129084092127,59.98928762720942,30,84.26022553419995,90.15310268236863,0.7963211372585256,92.66304347826086,88.58695652173914,73.2336956521739
31,82.78044804655663,89.00803345647941,0.7987355747863122,92.2675026123302,88.4012539184953,74.39916405433647,31,86.59368381711722,91.28451849903752,0.8309588724728522,93.39019189765457,91.36460554371001,82.72921108742004,31,83.91872070405918,87.07210106381896,0.8157128010199092,90.80863887493722,87.99598191863384,77.34806629834253,31,81.49898951349195,85.53606662463201,0.7706882703131317,87.09506107275624,81.57195963887415,62.559745087626126,31,84.85597625102585,90.7971652355797,0.8003319005410164,92.51517194875254,89.68307484828053,75.118004045853
32,83.98397330916127,90.88991828638035,0.8160835838812718,93.24894514767934,89.13502109704642,74.26160337552743,32,85.36268219758315,91.16459242648718,0.8195496742763333,93.11440677966102,91.63135593220339,81.67372881355932,32,85.13599693887312,87.10796793507077,0.829518330545389,90.20592667001506,88.29733802109494,77.44851833249623,32,82.16252786427388,84.95768100964035,0.7709275577411273,86.91043985161633,81.50503444621093,61.04928457869634,32,84.9512153111987,91.69947727278809,0.7978572504813423,92.98486932599724,89.95873452544704,76.34112792297113
33,83.31289371653172,90.00733448236512,0.8118743896273979,92.46861924686193,89.33054393305439,74.26778242677824,33,84.8900585523857,90.52881701851581,0.813079955779363,92.5925925925926,90.47619047619048,80.31746031746032,33,82.92146296355345,86.63718710727987,0.8052697445598743,89.91383679675621,86.16320324379119,72.88393309680689,33,81.62996244286198,86.18834384929276,0.7719514786877433,87.65235824059354,82.45892951775305,62.957074721780614,33,84.73743401655538,91.24154212316148,0.7966370317330598,92.73591310251189,90.020366598778,75.08486082824169
34,83.40582414820119,90.76906948695623,0.8161097608152391,93.0620761606677,89.20187793427232,74.07407407407408,34,86.24096798305719,91.00760218913172,0.8308068346788411,92.96375266524521,91.15138592750533,81.4498933901919,34,84.33404547048882,86.15933668638885,0.8239712437787504,90.03021148036254,87.31117824773415,75.73011077542799,34,82.19201845764196,85.40298032177225,0.7750674167850407,86.94250403009136,80.81676518001073,62.117141321869966,34,85.23997203619085,91.49089291021623,0.8029846169193107,92.32858112695182,88.11948404616429,74.94908350305501
35,83.8620973332013,89.74790819845809,0.8188395800452067,92.4742268041237,89.38144329896907,74.74226804123711,35,86.05877039990034,90.4391258337349,0.8218433527618529,92.90666666666667,91.73333333333332,81.49333333333333,35,84.26150314084373,86.62150801090004,0.821711104386722,90.78014184397163,88.55116514690982,74.77203647416414,35,82.17293630899204,86.84645473233049,0.7789714400883662,88.23842469398616,83.44864289515701,63.650878126663116,35,85.25010385110285,89.58033825023193,0.7991715156086201,91.93989071038253,88.25136612021858,74.86338797814209
36,84.11575170816798,90.58597996171366,0.8232302035016289,92.660072878709,89.12024986985946,73.7116085372202,36,86.50803538059051,91.02941281450687,0.8311285084822041,92.19330855018588,89.96282527881041,81.14710568242167,36,83.56716941424062,85.96722268904611,0.8122676078491632,89.65517241379311,85.69979716024339,73.02231237322515,36,81.93007259890192,85.83834366709227,0.7817400500994403,88.59132297803963,83.663631494376,65.23835029459025,36,84.82254126181623,89.19629179199777,0.7910742735986668,91.52542372881356,88.8135593220339,74.84745762711866
37,82.43462496477022,89.29414900655854,0.7973255849209798,90.95607235142118,87.13178294573643,69.56072351421189,37,85.42419334745234,90.0332733832923,0.8196006653487634,91.67103195390256,90.51859612362493,80.46097433211105,37,84.23918242402985,87.64461435665746,0.8167418827843673,90.68577277379734,88.84339815762539,76.97031729785057,37,82.5667224674953,86.33972768504933,0.7842577830569805,87.58657432072457,83.21790090570059,64.46457112413425,37,85.29468383671568,90.31985706189234,0.8044438386743905,92.71255060728745,89.60863697705803,77.86774628879891
38,83.31517889108096,90.17009291773272,0.8044004038838509,92.86829776158251,89.64081207704321,74.85684539302446,38,86.29235704497322,90.62740642752429,0.8296054901382273,92.48677248677248,91.42857142857143,81.37566137566138,38,83.38700934281432,85.91725976657662,0.8091329104739563,89.56870611835505,86.05817452357073,74.0220661985958,38,81.88063248649071,84.525065135863,0.7685436343802069,87.23972237052855,81.9006940736786,62.03950880939669,38,85.16600978733321,90.36350161968318,0.8020299189874285,92.02453987730061,89.02522154055895,75.93728698023178
39,83.87657010534654,90.99252499385281,0.8116934848425857,93.18658280922432,89.20335429769392,73.89937106918238,39,86.34063161828827,91.36818104062776,0.8307525799557102,92.8950159066808,90.98621420996818,81.97242841993636,39,82.99161378782564,86.31673557406233,0.799925582228061,88.6126305320736,84.83341621084038,70.51218299353556,39,82.22150905101006,84.878959979386,0.7740329595756553,88.05570433851099,83.23513658275307,63.417246920192824,39,84.62902359699693,91.7485365633002,0.7979703349408164,93.53301565690947,90.40163376446563,77.33151803948263
